2019-08-06 14:08:20,885 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': '9f-mysteel-search-extract02(192.168.202.214)', 'instance UUID': '5038ed23-9d88-76e1-7a68-d345a854822d', 'Cpu': 8, 'memory Size': 16384, 'path to VM': '[DNAS-Pro-Mysteel] 9f-mysteel-search-extract02(192.168.202.214)/9f-mysteel-search-extract02(192.168.202.214).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.214', 'hostname': 'vm-9f-mysteel-search-extract02', 'last booted timestamp': datetime.datetime(2019, 8, 6, 5, 47, 41, 414101, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:20,984 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': '9f-oilchem-nginx01(192.168.202.5)', 'instance UUID': '5038937d-224b-da8e-6f13-c5b0cadc83ff', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] 9f-oilchem-nginx01(192.168.202.5)/9f-oilchem-nginx01(192.168.202.5).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.5', 'hostname': 'vm-9f-oilchem-nginx01', 'last booted timestamp': datetime.datetime(2019, 7, 30, 7, 41, 53, 598999, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:21,289 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-kun-test02(192.168.202.64)', 'instance UUID': '50387930-c74b-b355-ab5b-188df6968739', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-kun-test02(192.168.202.64)/mysteel-kun-test02(192.168.202.64).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.64', 'hostname': 'vm-mysteel-kun-test02', 'last booted timestamp': datetime.datetime(2019, 7, 31, 0, 52, 31, 62424, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:21,401 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'soso-test-app02(192.168.200.83)', 'instance UUID': '500332c9-3147-b077-9ce0-4484a25f9c7c', 'Cpu': 4, 'memory Size': 8192, 'path to VM': '[DNAS-Pro-Mysteel] soso-test-app02(192.168.200.83)/soso-test-app02(192.168.200.83).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.200.83', 'hostname': 'vm-soso-test-app02', 'last booted timestamp': datetime.datetime(2019, 8, 4, 23, 54, 45, 198999, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:21,530 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': '9f-mysteel-search-es02(192.168.202.220)', 'instance UUID': '5038a95d-f32e-80de-4e65-1b08c134106d', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] 9f-mysteel-search-es02(192.168.202.220)/9f-mysteel-search-es02(192.168.202.220).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.220', 'hostname': 'vm-9f-mysteel-search-es02', 'last booted timestamp': datetime.datetime(2019, 7, 31, 3, 23, 38, 216738, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:21,680 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-DataEntry-test14(192.168.202.101)', 'instance UUID': '503846eb-d267-8d61-c25b-056d4e462e85', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-DataEntry-test14/mysteel-DataEntry-test14.vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.101', 'hostname': 'vm-mysteel-DataEntry-test14', 'last booted timestamp': datetime.datetime(2019, 7, 30, 6, 57, 25, 35000, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:21,905 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-camu-test01(192.168.201.49)', 'instance UUID': '50384d41-808f-79b5-7802-bb705d42d36d', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-camu-test01(192.168.201.49)/mysteel-camu-test01(192.168.201.49).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.201.49', 'hostname': 'vm-mysteel-camu-test01', 'last booted timestamp': datetime.datetime(2019, 7, 30, 6, 36, 22, 117000, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:22,010 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-DataBI(192.168.202.68)', 'instance UUID': '5038bbde-4c8c-a3e7-3a6a-543aa9270a57', 'Cpu': 8, 'memory Size': 8192, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-DataBI(192.168.202.68)/mysteel-DataBI(192.168.202.68).vmx', 'guest OS name': 'Microsoft Windows Server 2008 R2 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.68', 'hostname': 'WIN-4LVR30RSGNA', 'last booted timestamp': datetime.datetime(2019, 8, 2, 17, 3, 18, 296391, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:22,131 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-dc-dev04(192.168.200.234)', 'instance UUID': '5038f483-7e8d-2834-bd40-e45408f0cddf', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-dc-dev04(192.168.200.234)/mysteel-dc-dev04(192.168.200.234).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.200.234', 'hostname': 'vm-mysteel-dc-dev04', 'last booted timestamp': datetime.datetime(2019, 8, 6, 1, 16, 33, 950829, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:22,236 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': '9f-mysteel-info-test03(192.168.205.13)', 'instance UUID': '50380625-ef2c-0ef0-0e56-99dd8c7dc942', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] 9f-mysteel-info-test03(192.168.205.13)/9f-mysteel-info-test03(192.168.205.13).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.205.13', 'hostname': 'vm-9f-mysteel-info-test03', 'last booted timestamp': datetime.datetime(2019, 7, 30, 6, 36, 23, 126999, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
